index,artist,country,genre,gender,group_size,debut_album_year,track_name,uri,image_uri,song_uri,song_image_uri,embedded_track
1190,Max,us,Pop,m,1,2016,IT'S YOU (feat. keshi),spotify:artist:1bqxdqvUtPWZri43cKHac8,https://i.scdn.co/image/ab6761610000e5eb354a84cfb27458618bca3ecb,https://p.scdn.co/mp3-preview/11dc6807597031b53400ea099b42f4ca4529ae1d?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2738860c8336fa14e6b031c5b84,https://open.spotify.com/embed/track/5SMCxRA6hB2jEhroaYfw6N
1192,Ashanti,us,R&B,f,1,2002,Foolish,spotify:artist:5rkVyNGXEgeUqKkB5ccK83,https://i.scdn.co/image/ab6761610000e5eb1ebb81323a96e465ad20b932,https://p.scdn.co/mp3-preview/d0671e0c2ac4f367968d32f374ee88e6ffd9acfd?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2730ce7276f98d22a40865d9f0a,https://open.spotify.com/embed/track/6zMUIb4uce1CzpbjR3vMdN
1193,Melendi,es,Pop,m,1,2003,Destino o casualidad,spotify:artist:1EXjXQpDx2pROygh8zvHs4,https://i.scdn.co/image/ab6761610000e5eb69b92908b14aa8f0b4cd175d,https://p.scdn.co/mp3-preview/db516fcbb58530ef3ae0d3cc1d238f7c344bb5de?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2734306fd3cc49f5da4417ed1f2,https://open.spotify.com/embed/track/2sMxswHr9wX7kTUHULvJBJ
1194,Genesis,gb,Rock,m,5,1969,Invisible Touch - 2007 Remaster,spotify:artist:1HvH97rzvCH6lfnLlgyfke,https://i.scdn.co/image/ab67616d00001e0283566d45618ae139f6d5b360,https://p.scdn.co/mp3-preview/d35083ea94ad8078827fa465ec445cc46236ae07?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273b917174eb6069392e8a3cc7f,https://open.spotify.com/embed/track/0xpBr84T3FTm9j4D1MdPtk
1195,Lily Allen,gb,Pop,f,1,2006,Smile,spotify:artist:13saZpZnCDWOI9D4IJhp1f,https://i.scdn.co/image/ab6761610000e5eb4816f55146bf03d294005165,https://p.scdn.co/mp3-preview/4a73acda95a4f6da3405aa89c64a25e526293ce2?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273903b3846b9843677ca51bad9,https://open.spotify.com/embed/track/4aR9bPMAOFySBuQSbVWF3d
1196,London Symphony Orchestra,gb,Classical,x,10,1984,"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",spotify:artist:5yxyJsFanEAuwSM5kOuZKc,https://i.scdn.co/image/ab6761610000e5ebf113c063e071771545263b9a,https://p.scdn.co/mp3-preview/8341735f7b536ab6283bee1d52cf06b1fc0369d1?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2731d9c6602aa95abd8c5b146da,https://open.spotify.com/embed/track/2xizRhme7pYeITbH1NLLGt
1197,Gigi D'Agostino,it,Electronic,m,1,1999,In My Mind,spotify:artist:1OAjDaKgg00KCUYqDe68un,https://i.scdn.co/image/ab6761610000e5eb3547c85b33443eb3d8abd004,https://p.scdn.co/mp3-preview/14d056cbf98e9933ae0877c1cb9cde0ed708281e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27328a8a05c3a7ba952c7615ab9,https://open.spotify.com/embed/track/0E9ZjEAyAwOXZ7wJC0PD33
1198,David Bisbal,es,Pop,m,1,2002,"Y, ¿Si Fuera Ella? - + Es +",spotify:artist:5gOJTI4TusSENizxhcG7jB,https://i.scdn.co/image/ab6761610000e5eb20d6518a838a8dc7bfdb540e,https://p.scdn.co/mp3-preview/f49a6e00483c549f454743863da89a1f8066f7b4?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2733645b4fbcb4e6e6c804e02e6,https://open.spotify.com/embed/track/5OKrgU6UuGMp4sGRxv1JH2
1199,Moby,us,Electronic,m,1,1992,Porcelain,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,https://i.scdn.co/image/ab6761610000e5ebf00e2ecf7257c5a910d40f34,https://p.scdn.co/mp3-preview/37ae4e390d4b09a44325c82b3a1eccc370f0895c?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2737c34c0c518ea868297cf598c,https://open.spotify.com/embed/track/5fJAYWoFgXm26HLNViFiUh
1200,All Time Low,us,Rock,m,4,2006,"Dear Maria, Count Me In",spotify:artist:46gyXjRIvN1NL1eCB8GBxo,https://i.scdn.co/image/ab6761610000e5ebc8ae9b7a451d74da872bb3ac,https://p.scdn.co/mp3-preview/4413fceae528fbd4f167ba5322f182859c029cf5?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273c8913cd7b91bb7f6bbbec305,https://open.spotify.com/embed/track/0JJP0IS4w0fJx01EcrfkDe
1201,Denzel Curry,us,Hip Hop,m,1,2015,GOATED. (feat. Denzel Curry),spotify:artist:6fxyWrfmjcbj5d12gXeiNV,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b,https://p.scdn.co/mp3-preview/ca7b3bb6ceef6469a74f2ff0f1c0fd8cb2365814?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273632256808cfff32df450f159,https://open.spotify.com/embed/track/1q8DwZtQen5fvyB7cKbShC
1202,Deorro,us,Electronic,m,1,2017,Savage,spotify:artist:6VD4UEUPvtsemqD3mmTqCR,https://i.scdn.co/image/ab6761610000e5eb6927317407c8e2499d0cd39f,https://p.scdn.co/mp3-preview/72a7ca5279e9fdacf670ae73d7b03723e510c9ac?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2733c5a1ef66947ba7bbc7f8f87,https://open.spotify.com/embed/track/3MOECVkNshqHYTPt5DZcdN
1203,Chelsea Cutler,us,Pop,f,1,2018,you were good to me,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,https://i.scdn.co/image/ab6761610000e5eb3ecaabcbd22f1bc3bd0d5d3d,https://p.scdn.co/mp3-preview/d2feaa20f94f76876857c435fe4ceb2134aa8df3?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d841ad4d4aa791514d7e9758,https://open.spotify.com/embed/track/4CxFN5zON70B3VOPBYbd6P
1204,Willy William,fr,Pop,m,1,2012,Mi Gente,spotify:artist:4RSyJzf7ef6Iu2rnLdabNq,https://i.scdn.co/image/ab6761610000e5ebdde80699594b5d8641951c82,https://p.scdn.co/mp3-preview/b6dfd73e0763b4e296614da0e9684d4642a08452?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273dda2b86297d3bfb519f8b785,https://open.spotify.com/embed/track/7COfe3P7KgfwDwIRB8LIDw
1205,Jessie Reyez,ca,R&B,f,1,2017,Gimme (feat. Koffee & Jessie Reyez),spotify:artist:3KedxarmBCyFBevnqQHy3P,https://i.scdn.co/image/ab6761610000e5eb9e801308a8c99d52a7f14374,https://p.scdn.co/mp3-preview/221c1262b41286e85bd5a469c5419469665125eb?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273313aa4f025658a5daebe9e87,https://open.spotify.com/embed/track/3i0FkJYlU4MFfYkjFHXXAM
